"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,76,-0.32432,-0.32432,-0.41699,-0.09266,2359,3,2,0,180,2,0,9999,9999,0,-0.32432,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,126,-0.27799,-0.27799,0.09266,0.37065,1574,3,1,270,90,2,0,9999,9999,0,-0.27799,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,38,-0.27799,-0.27799,0.04633,0.32432,42080,1,1,90,90,1,0,9999,9999,0,-0.27799,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,2,-0.27799,-0.27799,0.04633,0.32432,1271,2,1,0,0,2,0,9999,9999,0,-0.27799,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,5,-0.27799,-0.27799,0,0.27799,2277,2,1,270,270,2,0,9999,9999,0,-0.27799,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,123,-0.27799,-0.27799,0,0.27799,1942,3,2,0,180,2,1,180,0,0,-0.27799,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,103,-0.27799,-0.27799,-0.09266,0.18533,2447,3,1,90,0,1,1,90,0,0,-0.27799,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,89,-0.27799,-0.27799,-0.37066,-0.09266,1603,4,1,90,180,2,0,9999,9999,0,-0.27799,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,92,-0.27799,-0.27799,-0.37066,-0.09266,1741,1,1,270,270,2,1,270,270,0,-0.27799,1,0,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,141,-0.23166,-0.23166,0.41699,0.64865,1587,1,1,0,270,2,0,9999,9999,0,-0.23166,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,10,-0.23166,-0.23166,0.13899,0.37065,1906,1,1,0,180,0,1,0,180,0,-0.23166,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,56,-0.23166,-0.23166,0.04633,0.27799,2121,2,2,180,0,0,1,0,180,0,-0.23166,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,101,-0.23166,-0.23166,0,0.23166,2255,3,1,0,90,1,0,9999,9999,0,-0.23166,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,49,-0.23166,-0.23166,0,0.23166,1770,3,1,180,90,2,0,9999,9999,0,-0.23166,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,16,-0.23166,-0.23166,-0.32432,-0.09266,1689,3,2,90,270,1,1,270,90,0,-0.23166,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,143,-0.23166,-0.23166,-0.32432,-0.09266,1390,1,2,0,0,1,0,9999,9999,0,-0.23166,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,143,-0.23166,-0.23166,-0.32432,-0.09266,1390,1,2,0,0,1,0,9999,9999,0,-0.23166,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,88,-0.23166,-0.23166,-0.46332,-0.23166,2136,3,2,90,90,2,1,90,90,0,-0.23166,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,31,-0.18533,-0.18533,0.09266,0.27799,4091,3,2,0,90,0,1,90,0,0,-0.18533,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,51,-0.18533,-0.18533,-0.27799,-0.09266,4124,4,1,0,0,0,1,0,0,0,-0.18533,0,1,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,27,-0.18533,-0.18533,-0.37066,-0.18533,1691,2,2,180,270,2,1,270,180,0,-0.18533,1,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,52,-0.18533,-0.18533,-0.41699,-0.23166,2265,1,1,270,270,1,1,270,270,0,-0.18533,1,0,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,75,-0.18533,-0.18533,-0.41699,-0.23166,1880,4,1,270,270,2,1,270,270,0,-0.18533,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,80,-0.18533,-0.18533,-0.46332,-0.27799,1473,1,2,90,90,1,0,9999,9999,0,-0.18533,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,96,-0.139,-0.139,0.37065,0.50965,2189,4,2,180,90,0,1,90,180,0,-0.139,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,11,-0.139,-0.139,0.18533,0.32432,1631,2,1,90,90,0,0,9999,9999,0,-0.139,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,144,-0.139,-0.139,0.13899,0.27799,1951,3,1,270,270,0,1,270,270,0,-0.139,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
